順位,チーム名,試合,勝利,敗戦,引分,勝率,勝差,残試合,得点,失点,本塁打,盗塁,打率,防御率,失策,date
5,ヤクルト,113,47,64,2,0.423,9,30,416,450,97,55,0.238,3.71,57,2023-08-25 14:12:02.511138
6,中日,112,41,68,3,0.376,5,31,318,407,50,30,0.24,3.3,66,2023-08-25 14:12:02.511138
1,阪神,114,69,41,4,0.627,M21,29,449,347,61,60,0.25,2.71,66,2023-08-26 14:10:42.663779
2,広島,116,63,50,3,0.558,7.5,27,413,406,79,66,0.246,3.15,60,2023-08-26 14:10:42.663779
3,DeNA,114,57,54,3,0.514,5,29,419,401,79,23,0.25,3.23,53,2023-08-26 14:10:42.663779
4,巨人,113,56,56,1,0.5,1.5,30,439,425,135,40,0.257,3.62,40,2023-08-26 14:10:42.663779
5,ヤクルト,114,47,65,2,0.42,9,29,422,457,97,55,0.239,3.74,57,2023-08-26 14:10:42.663779
6,中日,113,41,69,3,0.373,5,30,318,409,50,30,0.24,3.28,66,2023-08-26 14:10:42.663779
1,阪神,115,69,42,4,0.622,M21,28,451,351,61,61,0.249,2.73,67,2023-08-28 14:11:36.384129
2,広島,117,63,50,4,0.558,7,26,420,413,80,67,0.246,3.18,60,2023-08-28 14:11:36.384129
3,DeNA,115,57,55,3,0.509,5.5,28,420,403,79,24,0.249,3.21,53,2023-08-28 14:11:36.384129
4,巨人,114,57,56,1,0.504,0.5,29,443,427,137,41,0.257,3.59,41,2023-08-28 14:11:36.384129
5,ヤクルト,115,47,65,3,0.42,9.5,28,429,464,98,55,0.239,3.75,59,2023-08-28 14:11:36.384129
6,中日,114,42,69,3,0.378,4.5,29,320,410,50,30,0.24,3.25,66,2023-08-28 14:11:36.384129
1,阪神,116,69,43,4,0.616,-,27,453,354,61,62,0.249,2.73,68,2023-08-29 14:12:17.896347
2,広島,118,64,50,4,0.561,6,25,425,417,82,67,0.246,3.18,60,2023-08-29 14:12:17.896347
3,DeNA,116,58,55,3,0.513,5.5,27,423,405,81,24,0.249,3.2,54,2023-08-29 14:12:17.896347
4,巨人,115,57,57,1,0.5,1.5,28,447,432,138,41,0.257,3.6,42,2023-08-29 14:12:17.896347
5,ヤクルト,116,47,66,3,0.416,9.5,27,429,467,98,55,0.239,3.74,59,2023-08-29 14:12:17.896347
6,中日,115,43,69,3,0.384,3.5,28,323,410,51,31,0.241,3.22,66,2023-08-29 14:12:17.896347
1,阪神,117,69,44,4,0.611,-,26,455,358,62,62,0.248,2.74,68,2023-08-30 14:12:05.667795
2,広島,119,65,50,4,0.565,5,24,427,418,83,67,0.245,3.16,60,2023-08-30 14:12:05.667795
3,DeNA,117,59,55,3,0.518,5.5,26,427,407,82,24,0.249,3.19,56,2023-08-30 14:12:05.667795
4,巨人,116,57,58,1,0.496,2.5,27,448,434,139,41,0.257,3.58,42,2023-08-30 14:12:05.667795
5,ヤクルト,117,47,67,3,0.412,9.5,26,431,470,98,55,0.239,3.74,59,2023-08-30 14:12:05.667795
6,中日,116,44,69,3,0.389,2.5,27,326,412,51,31,0.241,3.21,66,2023-08-30 14:12:05.667795
2,広島,120,65,51,4,0.56,5.5,23,427,420,83,67,0.246,3.14,61,2023-08-31 14:12:32.401654
3,DeNA,117,59,55,3,0.518,5,26,427,407,82,24,0.249,3.19,56,2023-08-31 14:12:32.401654
4,巨人,117,58,58,1,0.5,2,26,450,434,139,41,0.257,3.55,42,2023-08-31 14:12:32.401654
5,ヤクルト,118,48,67,3,0.417,9.5,25,437,471,98,55,0.239,3.72,59,2023-08-31 14:12:32.401654
6,中日,117,44,70,3,0.386,3.5,26,327,418,52,32,0.241,3.2,70,2023-08-31 14:12:32.401654
1,阪神,118,70,44,4,0.614,M18,25,459,360,64,65,0.248,2.73,71,2023-09-01 14:12:28.038389
2,広島,121,65,52,4,0.556,6.5,22,430,425,84,68,0.245,3.16,62,2023-09-01 14:12:28.038389
3,DeNA,118,60,55,3,0.522,4,25,436,410,85,24,0.25,3.18,56,2023-09-01 14:12:28.038389
4,巨人,118,58,59,1,0.496,3,25,453,443,141,41,0.257,3.6,43,2023-09-01 14:12:28.038389
5,ヤクルト,119,48,68,3,0.414,9.5,24,439,475,98,55,0.238,3.7,60,2023-09-01 14:12:28.038389
6,中日,118,45,70,3,0.391,2.5,25,332,421,55,32,0.241,3.2,70,2023-09-01 14:12:28.038389
